graded_3,graded_1,graded_2
"('posible', 0.06501893022840884)","('saber', 0.08292457169708121)","('susana', 0.0747895646944134)"
"('cardoso', 0.06407057127098856)","('comisaría', 0.08080110175193685)","('primo', 0.07436145221833655)"
"('juicio', 0.06397445502913089)","('jubilar', 0.07913460463863892)","('zapatilla', 0.07372949397184007)"
"('taller', 0.06325481957230694)","('estación', 0.0790623086744183)","('morir', 0.0737175380303701)"
"('música', 0.06285118052732817)","('escribir', 0.07757664487510334)","('papá', 0.07370899390497115)"
"('agricultura', 0.06215189600362845)","('cansado', 0.07652836650656471)","('fuerza', 0.07361794014880284)"
"('aprendieron', 0.06215189600362845)","('correr', 0.07614667482498867)","('puerta', 0.07311698862969553)"
"('construyeron', 0.06215189600362845)","('junio', 0.07606250554401982)","('rey', 0.073032601493818)"
"('enseñanza', 0.06215189600362845)","('papel', 0.07598565448396606)","('hierba', 0.07265638346861934)"
"('institución', 0.06215189600362845)","('00', 0.07592177087893705)","('pescar', 0.07191606837603495)"
"('renunciar', 0.06215189600362845)","('alto', 0.07581383238498876)","('llevar', 0.07135319806930603)"
"('leyenda', 0.06210812775019518)","('embajada', 0.07492947447973691)","('quemar', 0.07117382872139426)"
"('hallar', 0.06210310912026769)","('cine', 0.07463589998631662)","('después', 0.0708466261353909)"
"('ir', -0.18005979720108173)","('si', -0.237074352016068)","('decir', -0.29375663849275785)"
"('cuadro', -0.137843320089523)","('ver', -0.2012183102490538)","('ser', -0.257776759019389)"
"('chico', -0.13507216344133915)","('padre', -0.16304421098224636)","('señor', -0.2153229467338055)"
"('mosén', -0.13506652414021758)","('aquel', -0.16223545734184908)","('cuadro', -0.1871155713706304)"
"('español', -0.1347259372322879)","('responder', -0.14824215760313444)","('querer', -0.18518662201331235)"
"('camping', -0.11903629410932356)","('amar', -0.14651755218388476)","('pregunta', -0.1762096417991892)"
"('marinero', -0.11794321033908668)","('merced', -0.1417357872746233)","('balsa', -0.16949138399143526)"
"('bar', -0.1131408275540997)","('mujer', -0.14003457332155297)","('gustar', -0.1636536533903937)"
"('museo', -0.10783744175758224)","('pueblo', -0.1351917439019426)","('camping', -0.15090700471256502)"
"('plaza', -0.1058997269236023)","('madre', -0.1332772259957985)","('sinagoga', -0.1477603907702198)"
"('agencia', -0.10566784313303983)","('mosén', -0.13319830883619135)","('contesto', -0.1454149315361664)"
"('nuevo', -0.1052050114020662)","('morir', -0.1300926011578278)","('detective', -0.14424906749571342)"
"('bolsa', -0.10152275680566789)","('aunque', -0.12596766499088963)","('museo', -0.12648873892449364)"
"('coger', -0.09873851111058181)","('isla', -0.12585752722514706)","('tener', -0.12646685178271985)"
"('tener', -0.09814772882739325)","('marinero', -0.1249513458977379)","('agencia', -0.12506524692661455)"
"('socio', -0.09787087441795543)","('disco', -0.12382074016206422)","('inspector', -0.11878477194024667)"
"('sinagoga', -0.09431246434679645)","('dar', -0.1167432210017942)","('socio', -0.11747360385248873)"
"('calle', -0.09416999389849125)","('balsa', -0.11348173245610821)","('ir', -0.11520847683225018)"
"('poder', -0.09351392034478265)","('cura', -0.10525421865304545)","('verónicamente', -0.1150139607702406)"
"('ventana', -0.09310127454134677)","('camino', -0.10203307568332877)","('español', -0.11477304810420587)"
"('siempre', -0.09227248321628277)","('hacer', -0.10173762456418471)","('bueno', -0.11133649653267536)"
"('mañana', -0.09127715945503106)","('voz', -0.09919886001878236)","('trabajar', -0.1108703344352911)"
"('calor', -0.09069867215640821)","('pez', -0.09400073646000434)","('ladrón', -0.11081756880003361)"
"('apartamento', -0.08853904669386921)","('comenzar', -0.09269284461120757)","('merced', -0.10713468586143841)"
"('sentar', -0.08840377948205633)","('departamento', -0.08724405860878118)","('haber', -0.1049166266690979)"
"('verónicamente', -0.08796443757296551)","('mundo', -0.08666465491095436)","('oficina', -0.10426097656257192)"
"('llave', -0.08729600458940409)","('gatito', -0.08175767936250032)","('buen', -0.09961480527561048)"
"('pez', -0.08710789217428953)","('fuerza', -0.08142700781458621)","('extranjero', -0.09876307589709601)"
"('piso', -0.08467873316275329)","('alguno', -0.08003280453701471)","('entender', -0.09786854175412879)"
"('cura', -0.08449175493007635)","('sino', -0.07927875742233005)","('señora', -0.09665422414923808)"
"('empezar', -0.08415563022179506)","('fondo', -0.07666839127233863)","('disco', -0.09527621469492069)"
"('dentro', -0.08362972870016147)","('allá', -0.0755788870185595)","('lunes', -0.09411865365758053)"
"('cerca', -0.08356659797675402)","('batalla', -0.07550470564944581)","('policía', -0.09386019393626248)"
"('sol', -0.08222726653629202)","('ciego', -0.07452085540094032)","('saber', -0.09376332825774686)"
"('lunes', -0.08186799803704467)","('ropa', -0.07400473619224313)","('arte', -0.09149485489343397)"
"('nervioso', -0.08176160145810979)","('gran', -0.07248092989758045)","('hablar', -0.090567645035487)"
"('pensar', -0.08113754799598889)","('cosa', -0.07236346295145032)","('interesante', -0.09031950278528014)"
"('perro', -0.08112380311482467)","('arca', -0.07211695683961966)","('ahora', -0.08980760734105715)"
"('puerta', -0.08070172878920258)","('tíaú', -0.07191062734735698)","('poner', -0.08942846617200952)"
"('dos', -0.08068491074333971)","('nombre', -0.07011516952267403)","('vacaciones', -0.08808807676415684)"
"('billete', -0.0799449308877336)","('hijo', -0.06998509756919)","('aquí', -0.08788066006992623)"
"('marido', -0.07959155651106825)","('lanzar', -0.06963715915087804)","('despacho', -0.08772631923291035)"
"('fiesta', -0.079334163264683)","('niña', -0.06948670013203861)","('arqueólogo', -0.08612841431503256)"
"('ciego', -0.07828307583840707)","('caballo', -0.06871676780218723)","('robo', -0.08516211059164586)"
"('rey', -0.07770012916721457)","('fuego', -0.06835059809588641)","('bolsa', -0.08401341885873913)"
"('niño', -0.07695069206422389)","('multitud', -0.06804256894917897)","('hotel', -0.0839099624851039)"
"('río', -0.0763145425685675)","('posible', -0.0674516286679353)","('indio', -0.08376340023148765)"
"('ojo', -0.07602581177335643)","('lleno', -0.06688625316068625)","('music', -0.08277402859998823)"
"('alcalde', -0.07590195992419896)","('brazo', -0.06677666175155177)","('hall', -0.08277402859998823)"
"('arca', -0.07575781532749072)","('hombre', -0.06636060340375481)","('gratin', -0.08277402859998823)"
"('hora', -0.07406751481690774)","('cada', -0.06611863129307732)","('actriz', -0.07933425940089762)"
"('café', -0.07405114427335492)","('vos', -0.06611045290095792)","('caso', -0.0783398460990793)"
"('casa', -0.07270792552528367)","('embargo', -0.06606385534923621)","('interesar', -0.0777104963026615)"
"('papel', -0.07220652133117395)","('italiano', -0.06549431972918053)","('quién', -0.0773139814901214)"
"('escalera', -0.07112804790350798)","('moto', -0.06528954899155032)","('serie', -0.07715189250539796)"
"('allí', -0.06990024784824973)","('miedo', -0.06525196917915466)","('querío', -0.07676609610817638)"
"('edificio', -0.06969229248519264)","('niño', -0.06458644553507956)","('historia', -0.07541022378452276)"
"('nadie', -0.0695654750156536)","('nunca', -0.064277573316994)","('comprar', -0.07526691433913575)"
"('tarde', -0.06898665487617368)","('entonces', -0.06404563276711725)","('urgente', -0.0749557868584109)"
"('despacho', -0.0681794358194053)","('alameda', -0.0637303691148751)","('leer', -0.07430912232881606)"
"('después', -0.06812436684873002)","('manera', -0.06347569540697956)","('inscripción', -0.0738801953851099)"
"('abierto', -0.06762144536412652)","('barco', -0.06344893170779166)","('billete', -0.07337561741210602)"
"('playa', -0.06747724598555273)","('propio', -0.06323802918857409)","('artículo', -0.07279633139546371)"
"('cocina', -0.06671206830616888)","('guardia', -0.06295340969308373)","('caballo', -0.07236348260705061)"
"('contesto', -0.06665048247297428)","('indio', -0.06287690797112236)","('hoy', -0.07197877144339604)"
"('vecino', -0.066540621041084)","('zapato', -0.06185846177315559)","('claro', -0.07193772105938062)"
"('cuarto', -0.06613204571545486)","('vino', -0.06177439316271589)","('jesuita', -0.07146193160618629)"
"('lado', -0.06605740594787612)","('abuelo', -0.06163005277749671)","('cliente', -0.07096836178622394)"
"('multitud', -0.06584769119180786)","('music', -0.06144743589205232)","('andante', -0.0698847304526987)"
"('joya', -0.06545310977738741)","('hall', -0.06144743589205232)","('tíaú', -0.06908705730683318)"
"('mayo', -0.0653021317917726)","('gratin', -0.06144743589205232)","('rato', -0.0687026800951331)"
"('alto', -0.06529933874402223)","('saco', -0.061337181473445926)","('importante', -0.06860386028459065)"
"('alameda', -0.06493175265523901)","('meter', -0.060812758579436896)","('departamento', -0.06835990106274745)"
"('color', -0.06405497975470269)","('aún', -0.060764589453721526)","('playa', -0.0680904243664142)"
"('periódico', -0.06391646058454532)","('aventura', -0.06067403841931686)","('bonito', -0.06776471933687943)"
"('agosto', -0.06338814773797359)","('iguano', -0.060167506601748605)","('ventanilla', -0.0674424794958108)"
"('actriz', -0.063183369436335)","('mil', -0.060109389993566145)","('carta', -0.06646404841235287)"
"('vacaciones', -0.06306264245376432)","('varios', -0.05985510997460657)","('lago', -0.06607263532579354)"
"('vez', -0.0626644426897801)","('junto', -0.05962015058172148)","('volar', -0.06527788410774595)"
"('caso', -0.06211152442427838)","('sólo', -0.059229131683387774)","('brava', -0.06485940845303391)"
"('serie', -0.062087961867030035)","('papá', -0.05882581836934851)","('cosa', -0.06464808007160239)"
"('ahora', -0.061913375726222644)","('familia', -0.05860305499695969)","('venta', -0.06336454636098723)"
"('novela', -0.061823863763021854)","('tal', -0.05853603354244371)","('excavación', -0.06316247549651137)"
"('verde', -0.06153007766930665)","('arma', -0.058416044504666066)","('ciudad', -0.06249796576267462)"
"('día', -0.061502948417940934)","('cabina', -0.0576143708509438)","('edificio', -0.062244719722726834)"
"('tres', -0.06147778801630334)","('único', -0.05749611457909761)","('guapo', -0.061385810625520607)"
"('ventanilla', -0.06145281492778111)","('cara', -0.05748026776030835)","('azul', -0.06097459614412864)"
"('vuelta', -0.06141102678625835)","('contar', -0.05734649780558311)","('expresión', -0.060907478512842415)"
"('tren', -0.06140941805327729)","('pedir', -0.05654519563214751)","('oca', -0.059514733737284144)"
"('barrio', -0.06057705636293226)","('cuyo', -0.05613875487715703)","('ah', -0.05916474795192706)"
"('camión', -0.06035903045096661)","('mar', -0.0561119902251912)","('periódico', -0.05855871123397005)"
"('año', -0.05996986361439108)","('volví', -0.0559425749082813)","('problema', -0.058446960906984265)"
"('vuelo', -0.059945793365740255)","('santa', -0.05549473971666075)","('fuente', -0.05821418269451527)"
"('aire', -0.059646845940434824)","('querío', -0.05548203263963295)","('palacio', -0.0581439853525736)"
"('chocolate', -0.05957783365131509)","('cuanto', -0.05500800155889129)","('llamar', -0.05794488865764437)"
"('oficina', -0.05934999937650567)","('cuenta', -0.054513181039770035)","('cita', -0.05763602658640104)"
"('pollo', -0.05927237302984875)","('brasa', -0.054465132011532476)","('nativo', -0.05762680455826549)"
"('gatito', -0.0592170080000995)","('pues', -0.05415235746686277)","('obra', -0.05637022977045692)"
"('aeropuerto', -0.058877967576529765)","('grupo', -0.05362542527520555)","('llamado', -0.05474601168784957)"
"('expresión', -0.05866840339288928)","('andante', -0.05336091402137851)","('asno', -0.054536970361656195)"
